station_id,phase_time,phase_score,phase_type,dt
C,2017-03-03 06:00:18.328,0.338,P,0.01
C,2017-03-03 06:00:31.898,0.301,P,0.01
C,2017-03-03 06:07:13.398,0.448,P,0.01
C,2017-03-03 06:07:30.078,0.347,P,0.01
C,2017-03-03 06:09:40.798,0.306,P,0.01
C,2017-03-03 06:25:01.878,0.578,P,0.01
C,2017-03-03 06:28:52.368,0.521,P,0.01
C,2017-03-03 06:29:25.378,0.787,P,0.01
C,2017-03-03 06:30:13.678,0.414,P,0.01
C,2017-03-03 06:42:52.218,0.364,P,0.01
C,2017-03-03 06:44:06.318,0.345,P,0.01
C,2017-03-03 06:51:58.888,0.31,P,0.01
C,2017-03-03 06:52:41.058,0.303,P,0.01
C,2017-03-03 07:01:58.938,0.406,P,0.01
C,2017-03-03 07:03:11.478,0.514,P,0.01
C,2017-03-03 07:04:56.698,0.463,P,0.01
C,2017-03-03 07:08:28.118,0.677,P,0.01
C,2017-03-03 07:34:32.918,0.383,P,0.01
C,2017-03-03 07:35:10.608,0.517,P,0.01
C,2017-03-03 07:42:52.338,0.484,P,0.01
C,2017-03-03 07:48:09.688,0.849,P,0.01
C,2017-03-03 07:56:03.778,0.384,P,0.01
C,2017-03-03 07:58:04.138,0.592,P,0.01
C,2017-03-03 07:59:20.558,0.502,P,0.01
C,2017-03-03 07:59:45.608,0.376,P,0.01
C,2017-03-03 08:04:28.098,0.747,P,0.01
C,2017-03-03 08:13:39.248,0.339,P,0.01
C,2017-03-03 08:14:22.158,0.329,P,0.01
C,2017-03-03 08:15:51.378,0.406,P,0.01
C,2017-03-03 08:27:12.168,0.58,P,0.01
C,2017-03-03 08:28:18.498,0.324,P,0.01
C,2017-03-03 08:32:32.698,0.351,P,0.01
C,2017-03-03 08:35:01.258,0.361,P,0.01
C,2017-03-03 08:37:21.568,0.746,P,0.01
C,2017-03-03 08:38:08.578,0.513,P,0.01
C,2017-03-03 08:40:18.838,0.343,P,0.01
C,2017-03-03 08:40:32.608,0.412,P,0.01
C,2017-03-03 08:46:24.678,0.329,P,0.01
C,2017-03-03 08:47:48.938,0.718,P,0.01
C,2017-03-03 09:00:24.118,0.329,P,0.01
C,2017-03-03 09:01:30.358,0.373,P,0.01
C,2017-03-03 09:13:10.538,0.321,P,0.01
C,2017-03-03 09:26:13.878,0.483,P,0.01
C,2017-03-03 09:31:54.618,0.641,P,0.01
C,2017-03-03 09:34:27.518,0.356,P,0.01
C,2017-03-03 09:40:51.638,0.657,P,0.01
C,2017-03-03 09:42:03.678,0.309,P,0.01
C,2017-03-03 09:46:37.938,0.306,P,0.01
C,2017-03-03 09:48:10.278,0.479,P,0.01
C,2017-03-03 09:51:11.938,0.542,P,0.01
C,2017-03-03 09:55:44.618,0.45,P,0.01
C,2017-03-03 09:59:15.698,0.43,P,0.01
C,2017-03-03 10:07:32.438,0.354,P,0.01
C,2017-03-03 10:08:08.958,0.499,P,0.01
C,2017-03-03 10:21:20.848,0.319,P,0.01
C,2017-03-03 10:33:03.338,0.312,P,0.01
C,2017-03-03 10:45:56.158,0.385,P,0.01
C,2017-03-03 10:46:07.518,0.348,P,0.01
C,2017-03-03 10:50:39.698,0.305,P,0.01
C,2017-03-03 10:54:28.008,0.332,P,0.01
C,2017-03-03 10:57:44.538,0.438,P,0.01
C,2017-03-03 11:12:39.728,0.491,P,0.01
C,2017-03-03 11:13:58.518,0.321,P,0.01
C,2017-03-03 11:14:51.858,0.49,P,0.01
