station_id,phase_time,phase_score,phase_type,phase_amplitude,begin_time,phase_index,dt
BG.AL1..DP,2023-01-01T18:35:33.390000,0.349,P,6.987e-06,2023-01-01T00:00:00.000,6693339,0.01
BG.AL1..DP,2023-01-01T18:50:19.400000,0.374,P,1.387e-06,2023-01-01T00:00:00.000,6781940,0.01
BG.AL1..DP,2023-01-01T18:50:23.780000,0.519,S,1.387e-06,2023-01-01T00:00:00.000,6782378,0.01
BG.AL1..DP,2023-01-01T18:52:32.880000,0.907,P,2.189e-06,2023-01-01T00:00:00.000,6795288,0.01
BG.AL1..DP,2023-01-01T18:52:36.770000,0.397,S,1.312e-06,2023-01-01T00:00:00.000,6795677,0.01
BG.AL2..DP,2023-01-01T18:30:01.390000,0.342,P,9.394e-07,2023-01-01T00:00:00.000,6660139,0.01
BG.AL2..DP,2023-01-01T18:37:36.510000,0.308,S,2.519e-06,2023-01-01T00:00:00.000,6705651,0.01
BG.AL2..DP,2023-01-01T18:37:36.570000,0.594,P,2.519e-06,2023-01-01T00:00:00.000,6705657,0.01
BG.AL2..DP,2023-01-01T18:37:42.190000,0.35,S,1.457e-06,2023-01-01T00:00:00.000,6706219,0.01
BG.AL2..DP,2023-01-01T18:38:07.480000,0.699,P,5.821e-06,2023-01-01T00:00:00.000,6708748,0.01
BG.AL2..DP,2023-01-01T18:38:08.970000,0.783,S,5.821e-06,2023-01-01T00:00:00.000,6708897,0.01
BG.AL2..DP,2023-01-01T18:46:41.450000,0.316,S,8.235e-07,2023-01-01T00:00:00.000,6760145,0.01
BG.AL2..DP,2023-01-01T18:52:46.760000,0.398,P,1.08e-06,2023-01-01T00:00:00.000,6796676,0.01
BG.AL2..DP,2023-01-01T18:53:18.350000,0.376,S,2.008e-06,2023-01-01T00:00:00.000,6799835,0.01
BG.AL2..DP,2023-01-01T18:54:39.160000,0.529,S,1.123e-06,2023-01-01T00:00:00.000,6807916,0.01
BG.AL3..DP,2023-01-01T18:35:33.890000,0.411,P,9.252e-06,2023-01-01T00:00:00.000,6693389,0.01
BG.AL3..DP,2023-01-01T18:35:44.130000,0.408,S,2.191e-05,2023-01-01T00:00:00.000,6694413,0.01
BG.AL3..DP,2023-01-01T18:37:44.250000,0.658,S,1.235e-06,2023-01-01T00:00:00.000,6706425,0.01
BG.AL3..DP,2023-01-01T18:39:34.120000,0.341,S,1.681e-06,2023-01-01T00:00:00.000,6717412,0.01
BG.AL3..DP,2023-01-01T18:41:37.070000,0.325,S,1.839e-06,2023-01-01T00:00:00.000,6729707,0.01
BG.AL3..DP,2023-01-01T18:42:45.240000,0.746,P,1.657e-06,2023-01-01T00:00:00.000,6736524,0.01
BG.AL3..DP,2023-01-01T18:42:48.530000,0.661,S,1.315e-06,2023-01-01T00:00:00.000,6736853,0.01
BG.AL3..DP,2023-01-01T18:43:45.640000,0.32,P,5.04e-07,2023-01-01T00:00:00.000,6742564,0.01
BG.AL3..DP,2023-01-01T18:43:52.560000,0.56,P,5.872e-07,2023-01-01T00:00:00.000,6743256,0.01
BG.AL3..DP,2023-01-01T18:43:53.220000,0.897,S,5.872e-07,2023-01-01T00:00:00.000,6743322,0.01
BG.AL3..DP,2023-01-01T18:47:36.990000,0.97,P,3.668e-06,2023-01-01T00:00:00.000,6765699,0.01
BG.AL4..DP,2023-01-01T18:35:33.850000,0.312,P,8.802e-06,2023-01-01T00:00:00.000,6693385,0.01
BG.AL4..DP,2023-01-01T18:38:45.310000,0.405,S,1.302e-06,2023-01-01T00:00:00.000,6712531,0.01
BG.AL4..DP,2023-01-01T18:47:36.940000,0.97,P,4.527e-06,2023-01-01T00:00:00.000,6765694,0.01
BG.AL4..DP,2023-01-01T18:47:37.720000,0.922,S,4.527e-06,2023-01-01T00:00:00.000,6765772,0.01
BG.AL4..DP,2023-01-01T18:52:53.710000,0.507,S,1.513e-06,2023-01-01T00:00:00.000,6797371,0.01
BG.AL4..DP,2023-01-01T18:56:03.230000,0.361,S,1.048e-06,2023-01-01T00:00:00.000,6816323,0.01
BG.AL5..DP,2023-01-01T18:35:32.690000,0.646,P,9.535e-06,2023-01-01T00:00:00.000,6693269,0.01
BG.AL5..DP,2023-01-01T18:38:07.880000,0.533,P,5.417e-07,2023-01-01T00:00:00.000,6708788,0.01
BG.AL5..DP,2023-01-01T18:38:12.070000,0.461,S,5.417e-07,2023-01-01T00:00:00.000,6709207,0.01
BG.AL5..DP,2023-01-01T18:47:37.170000,0.968,P,1.46e-06,2023-01-01T00:00:00.000,6765717,0.01
BG.AL5..DP,2023-01-01T18:47:38.280000,0.897,S,1.253e-06,2023-01-01T00:00:00.000,6765828,0.01
BG.AL5..DP,2023-01-01T18:50:37.530000,0.448,P,8.394e-07,2023-01-01T00:00:00.000,6783753,0.01
BG.AL5..DP,2023-01-01T18:50:39.470000,0.394,S,8.394e-07,2023-01-01T00:00:00.000,6783947,0.01
BG.AL6..DP,2023-01-01T18:31:38.120000,0.368,P,9.504e-07,2023-01-01T00:00:00.000,6669812,0.01
BG.AL6..DP,2023-01-01T18:34:45.270000,0.381,S,1.502e-06,2023-01-01T00:00:00.000,6688527,0.01
BG.AL6..DP,2023-01-01T18:35:33.770000,0.708,P,5.017e-06,2023-01-01T00:00:00.000,6693377,0.01
BG.AL6..DP,2023-01-01T18:35:55.730000,0.453,S,1.762e-05,2023-01-01T00:00:00.000,6695573,0.01
BG.AL6..DP,2023-01-01T18:36:26.270000,0.659,S,6.718e-06,2023-01-01T00:00:00.000,6698627,0.01
BG.AL6..DP,2023-01-01T18:47:36.990000,0.984,P,3.089e-06,2023-01-01T00:00:00.000,6765699,0.01
BG.AL6..DP,2023-01-01T18:47:37.830000,0.789,S,2.52e-06,2023-01-01T00:00:00.000,6765783,0.01
BG.AL6..DP,2023-01-01T18:51:17.840000,0.428,P,9.4e-07,2023-01-01T00:00:00.000,6787784,0.01
BG.BRP..DP,2023-01-01T18:35:33.330000,0.395,P,5.318e-06,2023-01-01T00:00:00.000,6693333,0.01
BG.BRP..DP,2023-01-01T18:47:37.340000,0.982,P,1.777e-06,2023-01-01T00:00:00.000,6765734,0.01
BG.BRP..DP,2023-01-01T18:47:38.310000,0.951,S,1.777e-06,2023-01-01T00:00:00.000,6765831,0.01
BG.BUC..DP,2023-01-01T18:35:51.440000,0.342,S,6.881e-05,2023-01-01T00:00:00.000,6695144,0.01
BG.BUC..DP,2023-01-01T18:47:36.740000,0.975,P,3.796e-05,2023-01-01T00:00:00.000,6765674,0.01
BG.BUC..DP,2023-01-01T18:47:37.290000,0.873,S,3.796e-05,2023-01-01T00:00:00.000,6765729,0.01
BG.CLV..DP,2023-01-01T18:35:34.050000,0.46,P,7.126e-06,2023-01-01T00:00:00.000,6693405,0.01
BG.CLV..DP,2023-01-01T18:47:37.140000,0.984,P,2.351e-06,2023-01-01T00:00:00.000,6765714,0.01
BG.CLV..DP,2023-01-01T18:47:38.100000,0.812,S,2.351e-06,2023-01-01T00:00:00.000,6765810,0.01
BG.CLV..DP,2023-01-01T18:52:25.390000,0.705,S,5.556e-07,2023-01-01T00:00:00.000,6794539,0.01
BG.DEB..DP,2023-01-01T18:35:35.370000,0.529,P,1.822e-07,2023-01-01T00:00:00.000,6693537,0.01
BG.DEB..DP,2023-01-01T18:47:38.420000,0.879,P,1.023e-07,2023-01-01T00:00:00.000,6765842,0.01
BG.DEB..DP,2023-01-01T18:47:40.530000,0.797,S,1.023e-07,2023-01-01T00:00:00.000,6766053,0.01
BG.DES..DP,2023-01-01T18:35:34.920000,0.766,P,1.539e-05,2023-01-01T00:00:00.000,6693492,0.01
BG.DRK..DP,2023-01-01T18:35:34.410000,0.511,P,5.127e-06,2023-01-01T00:00:00.000,6693441,0.01
BG.DRK..DP,2023-01-01T18:47:36.980000,0.97,P,2.033e-05,2023-01-01T00:00:00.000,6765698,0.01
BG.DRK..DP,2023-01-01T18:47:37.630000,0.949,S,2.033e-05,2023-01-01T00:00:00.000,6765763,0.01
BG.DRK..DP,2023-01-01T18:52:23.960000,0.984,P,2.376e-06,2023-01-01T00:00:00.000,6794396,0.01
BG.DRK..DP,2023-01-01T18:52:24.760000,0.867,S,2.376e-06,2023-01-01T00:00:00.000,6794476,0.01
BG.FNF..DP,2023-01-01T18:34:01.740000,0.931,P,1.353e-06,2023-01-01T00:00:00.000,6684174,0.01
BG.FNF..DP,2023-01-01T18:34:02.360000,0.923,S,1.353e-06,2023-01-01T00:00:00.000,6684236,0.01
BG.FNF..DP,2023-01-01T18:35:34.930000,0.715,P,1.49e-06,2023-01-01T00:00:00.000,6693493,0.01
BG.FNF..DP,2023-01-01T18:37:21.530000,0.318,P,1.009e-06,2023-01-01T00:00:00.000,6704153,0.01
BG.FNF..DP,2023-01-01T18:47:37.550000,0.944,P,1.658e-06,2023-01-01T00:00:00.000,6765755,0.01
BG.FNF..DP,2023-01-01T18:47:38.590000,0.931,S,1.658e-06,2023-01-01T00:00:00.000,6765859,0.01
BG.FNF..DP,2023-01-01T18:52:23.640000,0.975,P,5.571e-06,2023-01-01T00:00:00.000,6794364,0.01
BG.FNF..DP,2023-01-01T18:52:24.140000,0.944,S,5.571e-06,2023-01-01T00:00:00.000,6794414,0.01
BG.FUM..DP,2023-01-01T18:35:34.610000,0.506,P,8.569e-06,2023-01-01T00:00:00.000,6693461,0.01
BG.FUM..DP,2023-01-01T18:47:37.160000,0.914,P,1.112e-05,2023-01-01T00:00:00.000,6765716,0.01
BG.FUM..DP,2023-01-01T18:47:37.740000,0.955,S,1.112e-05,2023-01-01T00:00:00.000,6765774,0.01
BG.FUM..DP,2023-01-01T18:52:23.690000,0.849,P,5.749e-06,2023-01-01T00:00:00.000,6794369,0.01
BG.FUM..DP,2023-01-01T18:52:24.210000,0.947,S,5.749e-06,2023-01-01T00:00:00.000,6794421,0.01
BG.HBW..DP,2023-01-01T18:35:51.870000,0.451,S,3.273e-05,2023-01-01T00:00:00.000,6695187,0.01
BG.HBW..DP,2023-01-01T18:47:37.710000,0.89,P,9.229e-07,2023-01-01T00:00:00.000,6765771,0.01
BG.HBW..DP,2023-01-01T18:47:38.930000,0.681,S,8.396e-07,2023-01-01T00:00:00.000,6765893,0.01
BG.HER..DP,2023-01-01T18:33:36.660000,0.471,P,2.961e-06,2023-01-01T00:00:00.000,6681666,0.01
BG.HER..DP,2023-01-01T18:35:33.080000,0.604,P,9.166e-06,2023-01-01T00:00:00.000,6693308,0.01
BG.HER..DP,2023-01-01T18:38:26.170000,0.397,S,7.982e-05,2023-01-01T00:00:00.000,6710617,0.01
BG.HER..DP,2023-01-01T18:47:37.250000,0.308,P,1.282e-06,2023-01-01T00:00:00.000,6765725,0.01
BG.HER..DP,2023-01-01T18:47:39.440000,0.855,S,1.282e-06,2023-01-01T00:00:00.000,6765944,0.01
BG.HER..DP,2023-01-01T18:52:41.390000,0.442,S,3.812e-05,2023-01-01T00:00:00.000,6796139,0.01
BG.HER..DP,2023-01-01T18:56:02.070000,0.456,P,1.019e-06,2023-01-01T00:00:00.000,6816207,0.01
