station_id,check_id,longitude,latitude,elevation_m,center
BK.AASB.00.HNE,BKAASB,-121.10975,38.43026,67.1,BOTH
BK.AASB.00.HNN,BKAASB,-121.10975,38.43026,67.1,BOTH
BK.AASB.00.HNZ,BKAASB,-121.10975,38.43026,67.1,BOTH
BK.ADAM.00.HNE,BKADAM,-122.33414,38.75142,627.3,BOTH
BK.ADAM.00.HNN,BKADAM,-122.33414,38.75142,627.3,BOTH
BK.ADAM.00.HNZ,BKADAM,-122.33414,38.75142,627.3,BOTH
BK.ALVW.00.HNE,BKALVW,-120.47143,37.04906,41.8,BOTH
BK.ALVW.00.HNN,BKALVW,-120.47143,37.04906,41.8,BOTH
BK.ALVW.00.HNZ,BKALVW,-120.47143,37.04906,41.8,BOTH
BK.AONC.00.HNE,BKAONC,-122.0608,39.93981,70,BOTH
BK.AONC.00.HNN,BKAONC,-122.0608,39.93981,70,BOTH
BK.AONC.00.HNZ,BKAONC,-122.0608,39.93981,70,BOTH
BK.BDM.00.HNE,BKBDM,-121.86554,37.953972,219.8,BOTH
BK.BDM.00.HNN,BKBDM,-121.86554,37.953972,219.8,BOTH
BK.BDM.00.HNZ,BKBDM,-121.86554,37.953972,219.8,BOTH
BK.BIGV.00.HNE,BKBIGV,-121.22769,41.09439,1487.3,BOTH
BK.BIGV.00.HNN,BKBIGV,-121.22769,41.09439,1487.3,BOTH
BK.BIGV.00.HNZ,BKBIGV,-121.22769,41.09439,1487.3,BOTH
BK.BJES.00.HNE,BKBJES,-123.87996,40.54362,1050.7,BOTH
BK.BJES.00.HNN,BKBJES,-123.87996,40.54362,1050.7,BOTH
BK.BJES.00.HNZ,BKBJES,-123.87996,40.54362,1050.7,BOTH
BK.BKS.00.HNE,BKBKS,-122.23558,37.876221,243.9,BOTH
BK.BKS.00.HNN,BKBKS,-122.23558,37.876221,243.9,BOTH
BK.BKS.00.HNZ,BKBKS,-122.23558,37.876221,243.9,BOTH
BK.BL67.00.HNN,BKBL67,-122.243179,37.87492,736.2,BOTH
BK.BL67.00.HNZ,BKBL67,-122.243179,37.87492,736.2,BOTH
BK.BL88.00.HNE,BKBL88,-122.254288,37.877151,602.2,BOTH
BK.BL88.00.HNN,BKBL88,-122.254288,37.877151,602.2,BOTH
BK.BL88.00.HNZ,BKBL88,-122.254288,37.877151,602.2,BOTH
BK.BLAS.00.HNE,BKBLAS,-123.53248,40.3227,1679.3,BOTH
BK.BLUE.00.HNN,BKBLUE,-120.36462,38.34234,1840.5,BOTH
BK.BLUE.00.HNZ,BKBLUE,-120.36462,38.34234,1840.5,BOTH
BK.BONV.00.HNE,BKBONV,-123.34856,38.98742,196.9,BOTH
