index,network,station,location,instrument,component,sensitivity,latitude,longitude,elevation_m,depth_km,x_km,y_km,z_km,provider
AZ.KNW..BH,AZ,KNW,,BH,12ENZ,"[839091000.0, 209773000.0, 839091000.0, 209773000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0]",33.7141,-116.7119,1507.0,-1.507,258.718,-416.537,-1.507,NC
AZ.KNW..EH,AZ,KNW,,EH,12Z,"[31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0, 31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0, 31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0]",33.7141,-116.7119,1507.0,-1.507,258.718,-416.537,-1.507,NC
AZ.KNW..HH,AZ,KNW,,HH,12ENZ,"[157649000.0, 39412300.0, 840484000.0, 210121000.0, 157649000.0, 39412300.0, 840484000.0, 210121000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629569000.0, 629919000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629569000.0, 629919000.0, 157649000.0, 39412300.0, 840484000.0, 210121000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629569000.0, 629919000.0]",33.7141,-116.7119,1507.0,-1.507,258.718,-416.537,-1.507,NC
AZ.KNW..HN,AZ,KNW,,HN,ENZ,"[536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0, 427894.0]",33.7141,-116.7119,1507.0,-1.507,258.718,-416.537,-1.507,NC
AZ.LVA2..BH,AZ,LVA2,,BH,ENZ,"[839091000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0]",33.351601,-116.561501,1435.0,-1.435,273.875,-456.385,-1.435,NC
AZ.LVA2..HH,AZ,LVA2,,HH,ENZ,"[840484000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629569000.0, 840484000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629569000.0, 840484000.0, 210121000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629569000.0]",33.351601,-116.561501,1435.0,-1.435,273.875,-456.385,-1.435,NC
AZ.LVA2..HN,AZ,LVA2,,HN,ENZ,"[536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0, 536936.0, 536936.0, 536936.0, 536936.0, 268468.0, 427894.0, 427894.0]",33.351601,-116.561501,1435.0,-1.435,273.875,-456.385,-1.435,NC
AZ.PFO..BH,AZ,PFO,,BH,12ENZ,"[839091000.0, 209773000.0, 839091000.0, 209773000.0, 42581400.0, 839091000.0, 839091000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 42581400.0, 839091000.0, 839091000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0, 839091000.0, 209773000.0, 42581400.0, 839091000.0, 839091000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 789683000.0, 629313000.0, 629313000.0, 629313000.0, 629313000.0]",33.611698,-116.459396,1259.0,-1.259,282.5,-427.213,-1.259,NC
AZ.PFO..EH,AZ,PFO,,EH,12ENZ,"[31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 31430900.0, 31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 1004670000.0, 15697900.0, 502333000.0, 15697900.0, 15697900.0, 15697900.0, 251167000.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0, 66912700.0, 66912700.0, 31432900.0, 15716500.0, 31432900.0, 15716500.0, 15716500.0, 15716500.0, 15697900.0, 2009330000.0, 502333000.0, 15697900.0, 15697900.0, 1004670000.0, 15697900.0, 502333000.0, 15697900.0, 251167000.0, 15697900.0, 502333000.0, 15697900.0, 31430900.0, 66912700.0]",33.611698,-116.459396,1259.0,-1.259,282.5,-427.213,-1.259,NC
AZ.PFO..HH,AZ,PFO,,HH,12ENZ,"[210121000.0, 13132600.0, 39412300.0, 840484000.0, 210121000.0, 210121000.0, 13132600.0, 39412300.0, 840484000.0, 210121000.0, 840484000.0, 840484000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629919000.0, 840484000.0, 840484000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629919000.0, 210121000.0, 13132600.0, 39412300.0, 840484000.0, 210121000.0, 840484000.0, 840484000.0, 790994000.0, 790994000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 790444000.0, 629919000.0, 629919000.0, 629919000.0, 629919000.0]",33.611698,-116.459396,1259.0,-1.259,282.5,-427.213,-1.259,NC
