time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth_km
2023-01-01T18:52:45.662,2.167,1.17,0.696,0.122,7.27,8,4,4,112,-321.086,127.984,0.014,-123.186,38.596,0.014
2023-01-01T18:58:19.752,2.243,3.764,0.675,1.755,14.431,10,5,5,1,-157.62,41.27,0.0,-121.291,37.858,0.0
2023-01-01T18:38:49.074,0.665,0.21,0.496,0.018,11.0,10,5,5,22,-381.532,335.927,30.344,-123.994,40.44,30.344
2023-01-01T18:39:00.441,1.285,0.495,0.386,0.03,38.82,39,19,20,23,-383.643,336.303,28.828,-124.019,40.443,28.828
2023-01-01T18:48:02.653,-0.134,0.451,0.78,0.07,6.0,6,4,2,0,-229.464,426.26,0.0,-122.237,41.307,0.0
2023-01-01T18:52:03.770,-0.198,0.017,0.767,-0.002,5.0,5,2,3,14,-394.995,333.755,31.0,-124.151,40.415,31.0
2023-01-01T18:52:20.135,-0.357,0.13,0.167,0.008,11.0,11,6,5,15,-383.486,337.398,27.122,-124.018,40.453,27.122
2023-01-01T18:45:07.927,1.462,2.481,0.994,0.581,8.093,8,5,3,5,-300.272,25.681,0.254,-122.904,37.682,0.254
2023-01-01T18:39:57.947,-0.158,0.601,0.341,-0.074,10.361,11,5,6,35,-378.779,324.092,24.615,-123.955,40.335,24.615
2023-01-01T18:57:24.850,-0.501,0.269,0.19,-0.005,9.0,9,5,4,6,-383.132,334.36,26.66,-124.012,40.426,26.66
2023-01-01T18:35:27.819,3.69,1.459,1.055,-0.337,7.016,7,1,6,11,-267.29,326.604,30.033,-122.647,40.4,30.033
2023-01-01T18:35:29.505,3.962,0.763,0.189,0.002,6.984,7,0,7,12,-292.466,411.859,31.0,-122.981,41.158,31.0
2023-01-01T18:59:04.064,0.647,0.663,0.698,-0.14,10.888,10,5,5,38,-384.298,360.643,16.201,-124.041,40.661,16.201
2023-01-01T18:59:08.976,0.483,0.32,0.393,0.019,27.666,29,13,16,40,-380.53,328.744,31.0,-123.978,40.376,31.0
2023-01-01T18:47:01.630,0.87,0.817,0.853,-0.107,5.876,6,2,4,20,-106.557,-102.745,0.0,-120.69,36.568,0.0
2023-01-01T18:55:04.399,1.361,6.671,0.587,-2.783,69.617,30,10,20,72,-280.762,345.577,26.45,-122.813,40.566,26.45
