station_id,phase_time,phase_type,phase_score,phase_amplitude,event_index,gamma_score
BK.AASB.00.HH,2023-01-01T18:35:49.170000,P,0.476,6.782e-06,168,0.008990877886957177
BK.ADAM.00.HH,2023-01-01T18:32:33.250000,P,0.488,3.604e-07,130,0.004129605924599772
BK.ADAM.00.HH,2023-01-01T18:52:58.650000,P,0.52,2.249e-07,112,0.002596628417596137
BK.ADAM.00.HH,2023-01-01T18:32:37.570000,S,0.52,3.422e-07,129,0.004129605924599772
BK.ADAM.00.HH,2023-01-01T18:47:51.960000,S,0.658,9.59e-07,-1,-1.0
BK.AONC.00.HH,2023-01-01T18:35:29.073000,P,0.799,4.295e-05,168,0.009821939059141431
BK.AONC.00.HH,2023-01-01T18:52:47.323000,P,0.331,2.054e-06,-1,-1.0
BK.AONC.00.HH,2023-01-01T18:57:15.963000,P,0.804,8.604e-06,-1,-1.0
BK.AONC.00.HH,2023-01-01T18:35:01.173000,S,0.389,1.327e-06,-1,-1.0
BK.AONC.00.HH,2023-01-01T18:35:48.293000,S,0.39,0.0001647,11,0.0033430349934584634
BK.AONC.00.HH,2023-01-01T18:43:33.003000,S,0.336,2.782e-06,-1,-1.0
BK.AONC.00.HH,2023-01-01T18:44:36.833000,S,0.438,2.131e-06,83,0.017509133882273344
BK.AONC.00.HH,2023-01-01T18:52:12.013000,S,0.487,1.64e-06,-1,-1.0
BK.AONC.00.HH,2023-01-01T18:57:16.633000,S,0.85,8.604e-06,-1,-1.0
BK.BAKR.00.HH,2023-01-01T18:35:24.040000,P,0.706,0.0001332,168,0.006998652685018316
BK.BAKR.00.HH,2023-01-01T18:55:01.150000,P,0.886,3.463e-07,72,0.0015811923747505385
BK.BAKR.00.HH,2023-01-01T18:56:22.730000,P,0.301,1.685e-07,-1,-1.0
BK.BAKR.00.HH,2023-01-01T18:56:44.290000,P,0.304,2.092e-07,-1,-1.0
BK.BAKR.00.HH,2023-01-01T18:30:37.930000,S,0.34,2.382e-07,-1,-1.0
BK.BAKR.00.HH,2023-01-01T18:44:33.290000,S,0.311,1.138e-06,83,0.011927622076974257
BK.BAKR.00.HH,2023-01-01T18:50:05.230000,S,0.337,1.8e-06,-1,-1.0
BK.BAKR.00.HH,2023-01-01T18:55:47.470000,S,0.383,3.005e-07,73,0.0015811923747505385
BK.BCCR.00.HH,2023-01-01T18:35:32.270000,P,0.845,3.593e-05,168,0.013011120047732081
BK.BCCR.00.HH,2023-01-01T18:55:39.050000,P,0.421,1.138e-07,73,0.008267040329063965
BK.BCCR.00.HH,2023-01-01T18:55:42.360000,S,0.524,1.138e-07,72,0.008267040329063965
BK.BCCR.00.HH,2023-01-01T18:56:00.140000,S,0.446,1.313e-07,-1,-1.0
BK.BIGV.00.HH,2023-01-01T18:31:40.370000,P,0.521,3.284e-07,-1,-1.0
BK.BIGV.00.HH,2023-01-01T18:35:38.590000,P,0.858,5.091e-05,168,0.015669864141076226
BK.BIGV.00.HH,2023-01-01T18:44:24.090000,P,0.668,5.734e-08,88,0.002534840236899298
BK.BIGV.00.HH,2023-01-01T18:50:59.430000,P,0.437,1.025e-07,-1,-1.0
BK.BIGV.00.HH,2023-01-01T18:55:11.040000,P,0.556,1.899e-07,-1,-1.0
BK.BIGV.00.HH,2023-01-01T18:55:33.040000,P,0.836,1.109e-07,72,0.009148449549694345
BK.BIGV.00.HH,2023-01-01T18:55:44.490000,P,0.801,1.725e-07,73,0.009148449549694345
BK.BIGV.00.HH,2023-01-01T18:56:41.330000,P,0.473,3.239e-07,-1,-1.0
BK.BIGV.00.HH,2023-01-01T18:58:28.060000,P,0.834,2.765e-07,-1,-1.0
BK.BIGV.00.HH,2023-01-01T18:42:54.590000,S,0.369,7.502e-08,-1,-1.0
BK.BIGV.00.HH,2023-01-01T18:46:30.220000,S,0.584,1.602e-07,-1,-1.0
BK.BIGV.00.HH,2023-01-01T18:51:52.190000,S,0.372,2.521e-07,-1,-1.0
BK.BJES.00.HH,2023-01-01T18:35:15.140000,P,0.691,0.01818,168,0.00185262696688967
BK.BJES.00.HH,2023-01-01T18:43:59.010000,S,0.456,2.696e-05,86,0.002534840236899298
BK.BJES.00.HH,2023-01-01T18:46:51.930000,S,0.548,0.01252,-1,-1.0
BK.BJES.00.HH,2023-01-01T18:53:53.830000,S,0.381,4.041e-07,102,0.031834800255300034
BK.BJES.00.HH,2023-01-01T18:55:20.330000,S,0.725,7.722e-06,73,0.001586606829785714
BK.BJES.00.HH,2023-01-01T18:56:45.380000,S,0.766,3.11e-07,49,0.103456936652026
BK.BKS.00.HH,2023-01-01T18:35:47.598000,P,0.549,7.269e-06,168,0.010351942180876256
BK.BLUE.00.HH,2023-01-01T18:35:57.470000,P,0.8,5.221e-06,168,0.015446336903703985
BK.BONV.00.HH,2023-01-01T18:35:27.733000,P,0.891,2.888e-05,168,0.011403416184132292
BK.BONV.00.HH,2023-01-01T18:55:33.763000,P,0.549,1.988e-07,73,0.0008410892067631656
BK.BRIB.01.HH,2023-01-01T18:35:47.590000,P,0.51,3.124e-06,168,0.008322727655507182
BK.BRIC.00.HH,2023-01-01T18:35:12.480000,P,0.952,0.004096,168,0.006842662262260449
BK.BRIC.00.HH,2023-01-01T18:39:08.890000,P,0.971,1.348e-06,23,0.22638643086659863
BK.BRIC.00.HH,2023-01-01T18:39:36.790000,P,0.687,9.258e-07,105,0.10448833133065039
BK.BRIC.00.HH,2023-01-01T18:40:07.880000,P,0.375,7.703e-07,36,0.00663610600252146
BK.BRIC.00.HH,2023-01-01T18:43:57.390000,P,0.973,5.628e-06,86,0.03849537468376188
BK.BRIC.00.HH,2023-01-01T18:44:43.530000,P,0.493,2.463e-07,138,0.0806903089008655
